GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
io.github.easy4j:pac4j-extension-core,org.pac4j.core.ext,Pac4jExternalAuthorizer,11,0,0,0,3,0,3,0,3,0
io.github.easy4j:pac4j-extension-core,org.pac4j.core.ext,Pac4jInternalAuthorizer,11,0,0,0,3,0,3,0,3,0
io.github.easy4j:pac4j-extension-core,org.pac4j.core.ext,Pac4jExtConstants,3,9,0,0,1,4,1,1,1,1
io.github.easy4j:pac4j-extension-core,org.pac4j.core.ext.credentials.authenticator,SignatureAuthenticator,78,0,6,0,21,0,8,0,5,0
io.github.easy4j:pac4j-extension-core,org.pac4j.core.ext.credentials.authenticator,TokenAuthenticator,419,0,24,0,96,0,30,0,18,0
io.github.easy4j:pac4j-extension-core,org.pac4j.core.ext.authentication.generator,UserDetailsAuthorizationGenerator,28,0,0,0,8,0,3,0,3,0
io.github.easy4j:pac4j-extension-core,org.pac4j.core.ext.credentials.extractor,UsernamePasswordCaptchaCredentialsExtractor,162,0,18,0,44,0,20,0,11,0
io.github.easy4j:pac4j-extension-core,org.pac4j.core.ext.credentials.extractor,SignatureParameterExtractor,71,100,7,5,20,22,17,2,11,2
io.github.easy4j:pac4j-extension-core,org.pac4j.core.ext.credentials.extractor,TokenParameterExtractor,216,0,12,0,48,0,18,0,12,0
io.github.easy4j:pac4j-extension-core,org.pac4j.core.ext.profile.creator,TokenProfileCreator,0,12,0,0,0,3,0,3,0,3
io.github.easy4j:pac4j-extension-core,org.pac4j.core.ext.profile.creator,SignatureProfileCreator,0,12,0,0,0,3,0,3,0,3
io.github.easy4j:pac4j-extension-core,org.pac4j.core.ext.profile.definition,TokenProfileDefinitionAware,23,0,2,0,9,0,5,0,4,0
io.github.easy4j:pac4j-extension-core,org.pac4j.core.ext.profile.definition,SignatureProfileDefinitionAware,23,0,2,0,9,0,5,0,4,0
io.github.easy4j:pac4j-extension-core,org.pac4j.core.ext.exception,CaptchaIncorrectException,0,9,0,0,0,4,0,2,0,2
io.github.easy4j:pac4j-extension-core,org.pac4j.core.ext.exception,MethodNotSupportedException,0,4,0,0,0,2,0,1,0,1
